temperature,sound,accel_x,accel_y,accel_z
27.0248,5.8511,-4.1458,16.7816,12.2064
33.1141,8.1926,-7.2005,19.1205,7.693
32.1157,8.3304,-3.4337,19.7369,14.2072
30.1692,6.4919,-7.8402,22.6665,10.4435
29.4994,4.9198,-4.087,23.1116,9.6646
31.1827,5.1479,-9.4809,16.0822,13.3109
27.0842,6.6881,-7.2689,19.5369,8.2614
32.4309,7.1306,-4.6323,20.7284,8.2546
34.8476,6.4056,-5.8499,15.5669,14.0802
30.3155,5.1044,-7.337,18.5777,12.3367
27.8217,8.3445,-5.1833,15.5233,14.1662
34.6125,4.1508,-7.8268,14.9945,6.1952
33.2133,9.1993,-4.4676,18.3753,7.0869
28.4376,9.1274,-9.1864,20.2018,7.5826
31.1011,7.3425,-7.1356,21.2921,12.5359
29.9791,9.5072,-3.5575,17.5699,13.9338
33.3908,4.4491,-7.7771,17.6108,7.6336
27.7253,5.6098,-4.7175,23.0547,12.6305
34.0873,6.9303,-3.8118,20.3177,6.675
31.9636,6.1804,-5.7079,23.1522,10.9072
29.6919,5.8783,-6.0349,21.6814,10.9774
32.9428,8.2159,-5.8984,17.863,12.9339
28.6318,5.542,-8.8722,17.2895,9.154
29.111,9.2585,-3.8213,19.0188,9.8355
31.9929,9.8243,-3.6712,15.5512,12.1097
30.7098,6.9987,-8.1179,15.9161,9.3889
34.7019,9.4606,-8.8076,24.2898,8.3029
29.9388,7.678,-5.4327,24.3576,14.383
27.2586,6.442,-7.0803,15.6399,9.5253
30.1101,6.3131,-3.5379,14.5673,10.919
27.0779,8.2737,-8.7288,15.3997,10.4068
27.7893,9.4292,-8.3544,16.1034,8.381
34.8893,7.6004,-6.0397,22.7649,8.9225
28.0206,5.7563,-9.0913,14.0027,12.3704
31.915,8.2976,-3.1886,21.192,8.3412
28.5521,7.5606,-3.7112,19.7727,11.9564
33.3067,6.5826,-9.9843,23.5355,11.9093
34.5079,7.4108,-9.7747,22.3995,14.4975
30.1663,5.173,-3.9701,23.5883,11.6559
27.1466,8.1969,-4.237,18.5724,8.6666
30.93,5.925,-9.2019,22.262,11.6486
34.0784,9.4168,-8.9142,17.9858,12.1815
33.0478,8.9244,-6.3398,17.2049,12.1122
33.7934,5.9532,-8.0125,16.1471,8.5821
31.1984,5.1687,-4.9832,22.6783,12.4609
33.1543,6.1111,-7.4837,19.4606,11.8379
34.2875,7.6979,-4.7578,23.2812,8.487
27.8898,7.7521,-6.5919,17.0299,11.9915
31.1702,8.9608,-8.9863,17.9566,14.1169
34.0007,5.5718,-6.4851,20.7261,13.5952
27.6608,8.4469,-4.7646,16.2894,7.2475
30.751,7.6158,-9.6493,18.3612,7.0456
31.2078,4.238,-5.1226,22.8599,6.1056
28.4668,5.1638,-3.956,20.6349,6.736
31.4801,6.5245,-7.3795,21.0969,8.4443
