temperature,sound,accel_x,accel_y,accel_z
24.177,0.3446,-0.2086,10.244,3.661
24.6435,1.8408,0.8701,12.4549,2.048
24.354,2.2996,-0.251,8.3144,1.8246
25.4898,0.8202,0.8312,7.0081,1.1035
25.6006,2.2615,-0.0471,12.6005,3.4241
25.6963,2.5954,0.6346,7.3126,1.4806
24.6343,2.927,0.0088,7.7893,4.1693
25.3347,2.5658,-1.3912,7.72,1.0677
25.5742,1.2756,0.9824,12.9946,0.551
24.1285,2.7959,2.0899,7.4299,4.9493
25.6894,1.2888,-1.6956,10.8268,2.816
24.6307,0.5823,-1.2126,12.234,4.4857
24.0034,2.6732,-0.3012,9.5838,4.7903
25.8842,2.3123,2.3728,10.754,1.7953
25.303,2.9847,-0.7991,7.0451,0.4695
25.0434,0.3097,-0.2275,9.3834,0.8329
25.6924,0.6407,-0.7638,10.9601,1.5978
24.9884,2.4822,1.1645,9.8718,4.6041
24.8917,2.5593,2.0954,12.5085,0.1391
25.3803,2.123,2.3437,8.0588,3.3678
25.4279,2.2267,1.9052,11.0608,2.314
24.4722,0.2538,-2.0557,10.2041,1.8175
25.0292,0.7833,-2.2068,9.4173,2.9816
24.439,1.9628,-0.1765,11.4062,0.3505
24.2094,1.2984,-0.6717,11.2268,2.6603
25.0204,0.6986,-2.5369,11.0932,4
24.4427,1.7721,-2.2803,7.6343,1.361
24.6792,0.3157,2.4692,11.6973,1.4993
24.0808,1.677,-2.2811,10.3658,2.9938
25.4077,0.1494,-1.398,10.3433,0.1789
24.797,1.4853,2.4965,10.7974,4.8283
24.0525,0.4151,-2.3834,7.6334,1.2797
25.0089,1.2867,0.728,8.4687,2.4935
24.2966,0.5332,2.998,8.1028,4.1832
25.8575,2.6179,-2.9738,7.1826,2.3499
24.0149,2.5687,-2.3695,8.9916,4.7683
25.6723,1.6185,0.0221,8.9822,0.937
24.4223,0.0165,0.3731,9.146,1.6791
25.3782,1.8888,-2.64,10.2042,2.6943
25.0838,0.5901,1.7196,10.3006,1.5278
24.6021,2.8627,-0.3879,12.0435,1.4628
25.0299,0.6539,1.8375,9.1258,3.5595
25.4526,0.3963,2.3675,12.7824,2.4513
24.4624,2.3588,2.167,7.2514,4.83
24.1391,1.1396,0.34,9.6646,1.1101
25.0671,0.8053,2.539,12.2728,2.9219
25.8286,1.5955,-1.3015,8.0178,2.4808
